"","year","social_capital","absence_exclusion","absence_capture","vdeminformal","btiinformal","informal_channels","vdeminstitutional","btiinstitutional","institutional_channels","vdemcso","bticso","intermediary_channels","civil_capacity","quality_interface","resilience","v2cagenmob","percept_civicspace","natgov_confidence"
"53",1841,NA,NA,-0.53729375729988,NA,NA,NA,-0.469143526301963,NA,NA,-0.456133415413786,NA,NA,NA,NA,NA,NA,NA,NA
"54",1842,NA,NA,-0.53729375729988,NA,NA,NA,-0.479771235981866,NA,NA,-0.456133415413786,NA,NA,NA,NA,NA,NA,NA,NA
"55",1843,NA,NA,-0.542256794529905,NA,NA,NA,-0.485277157864225,NA,NA,-0.456133415413786,NA,NA,NA,NA,NA,NA,NA,NA
"56",1844,NA,NA,-0.527536344445579,NA,NA,NA,-0.463919302748469,NA,NA,-0.452118375196529,NA,NA,NA,NA,NA,NA,NA,NA
"57",1845,NA,NA,-0.526584348432616,NA,NA,NA,-0.464241360765178,NA,NA,-0.45517479928132,NA,NA,NA,NA,NA,NA,NA,NA
"58",1846,NA,NA,-0.520797333479143,NA,NA,NA,-0.45806755775402,NA,NA,-0.43747477040319,NA,NA,NA,NA,NA,NA,NA,NA
"59",1847,NA,NA,-0.492356047069052,NA,NA,NA,-0.463819735193685,NA,NA,-0.445723828954615,NA,NA,NA,NA,NA,NA,NA,NA
"60",1848,NA,NA,-0.394637693848706,NA,NA,NA,-0.346566490478072,NA,NA,-0.359885731347493,NA,NA,NA,NA,NA,NA,NA,NA
"61",1849,NA,NA,-0.382111326776763,NA,NA,NA,-0.226595119003936,NA,NA,-0.335795851195322,NA,NA,NA,NA,NA,NA,NA,NA
"62",1850,NA,NA,-0.466775790808254,NA,NA,NA,-0.247021833098099,NA,NA,-0.386280840724906,NA,NA,NA,NA,NA,NA,NA,NA
"63",1851,NA,NA,-0.470002951280958,NA,NA,NA,-0.271588590704772,NA,NA,-0.437887867384046,NA,NA,NA,NA,NA,NA,NA,NA
"64",1852,NA,NA,-0.46932493181163,NA,NA,NA,-0.27441950525623,NA,NA,-0.420350838159735,NA,NA,NA,NA,NA,NA,NA,NA
"65",1853,NA,NA,-0.454636892476568,NA,NA,NA,-0.255717399549256,NA,NA,-0.403628747012622,NA,NA,NA,NA,NA,NA,NA,NA
"66",1854,NA,NA,-0.442612166138071,NA,NA,NA,-0.231293232514867,NA,NA,-0.391191777119209,NA,NA,NA,NA,NA,NA,NA,NA
"67",1855,NA,NA,-0.442612166138071,NA,NA,NA,-0.225059197279209,NA,NA,-0.391191777119209,NA,NA,NA,NA,NA,NA,NA,NA
"68",1856,NA,NA,-0.470821753730444,NA,NA,NA,-0.222470392649757,NA,NA,-0.39256370541856,NA,NA,NA,NA,NA,NA,NA,NA
"69",1857,NA,NA,-0.479511468146274,NA,NA,NA,-0.231564277525113,NA,NA,-0.39256370541856,NA,NA,NA,NA,NA,NA,NA,NA
"70",1858,NA,NA,-0.476009097701218,NA,NA,NA,-0.22678624048552,NA,NA,-0.395748830310147,NA,NA,NA,NA,NA,NA,NA,NA
"71",1859,NA,NA,-0.458652286190384,NA,NA,NA,-0.222732148451926,NA,NA,-0.371663351690356,NA,NA,NA,NA,NA,NA,NA,NA
"72",1860,NA,NA,-0.451908838606925,NA,NA,NA,-0.187751125762058,NA,NA,-0.312617938456375,NA,NA,NA,NA,NA,NA,NA,NA
"73",1861,NA,NA,-0.433655516124683,NA,NA,NA,-0.154881836995348,NA,NA,-0.304767169679439,NA,NA,NA,NA,NA,NA,NA,NA
"74",1862,NA,NA,-0.402621231144692,NA,NA,NA,-0.137596215746452,NA,NA,-0.301888546118844,NA,NA,NA,NA,NA,NA,NA,NA
"75",1863,NA,NA,-0.402621231144692,NA,NA,NA,-0.125419187558755,NA,NA,-0.280029702344355,NA,NA,NA,NA,NA,NA,NA,NA
"76",1864,NA,NA,-0.407847388868768,NA,NA,NA,-0.124850959025745,NA,NA,-0.283528874254672,NA,NA,NA,NA,NA,NA,NA,NA
"77",1865,NA,NA,-0.400928723184509,NA,NA,NA,-0.120930182147972,NA,NA,-0.27631579742978,NA,NA,NA,NA,NA,NA,NA,NA
